run_id,N,T,initial_corruption_rate_parameter,beta,gamma,alpha,memory_endowment,collaboration_cost,discount_factor,initial_num_corrupted,initial_corruption_rate_actual,final_num_corrupted,final_num_honest,final_corruption_rate,spread_amount,spread_rate_change,full_corruption,no_spread,belief_cutoff
0,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,26,374,0.065,8,0.020000000000000004,False,False,0.034102314032345635
1,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,21,379,0.0525,2,0.0049999999999999975,False,False,0.034102314032345635
2,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,19,381,0.0475,3,0.0075,False,False,0.034102314032345635
3,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,18,382,0.045,2,0.0049999999999999975,False,False,0.034102314032345635
4,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,14,0.035,19,381,0.0475,5,0.012499999999999997,False,False,0.034102314032345635
5,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,33,367,0.0825,10,0.025,False,False,0.034102314032345635
6,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,13,0.0325,23,377,0.0575,10,0.025,False,False,0.034102314032345635
7,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,27,373,0.0675,6,0.015000000000000006,False,False,0.034102314032345635
8,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,12,0.03,20,380,0.05,8,0.020000000000000004,False,False,0.034102314032345635
9,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,12,0.03,19,381,0.0475,7,0.0175,False,False,0.034102314032345635
10,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,28,372,0.07,9,0.022500000000000006,False,False,0.034102314032345635
11,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,28,0.07,40,360,0.1,12,0.03,False,False,0.034102314032345635
12,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,33,367,0.0825,13,0.0325,False,False,0.034102314032345635
13,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,32,368,0.08,13,0.0325,False,False,0.034102314032345635
14,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,31,369,0.0775,8,0.019999999999999997,False,False,0.034102314032345635
15,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,17,0.0425,23,377,0.0575,6,0.015,False,False,0.034102314032345635
16,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,17,0.0425,32,368,0.08,15,0.0375,False,False,0.034102314032345635
17,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,0.0625,35,365,0.0875,10,0.024999999999999994,False,False,0.034102314032345635
18,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,26,374,0.065,5,0.012500000000000004,False,False,0.034102314032345635
19,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,19,381,0.0475,3,0.0075,False,False,0.034102314032345635
20,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,32,368,0.08,16,0.04,False,False,0.034102314032345635
21,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,27,0.0675,36,364,0.09,9,0.022499999999999992,False,False,0.034102314032345635
22,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,41,359,0.1025,18,0.04499999999999999,False,False,0.034102314032345635
23,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,17,0.0425,24,376,0.06,7,0.017499999999999995,False,False,0.034102314032345635
24,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,28,372,0.07,9,0.022500000000000006,False,False,0.034102314032345635
25,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,30,370,0.075,12,0.03,False,False,0.034102314032345635
26,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,17,383,0.0425,2,0.0050000000000000044,False,False,0.034102314032345635
27,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,29,0.0725,39,361,0.0975,10,0.02500000000000001,False,False,0.034102314032345635
28,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,25,375,0.0625,6,0.015,False,False,0.034102314032345635
29,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,25,375,0.0625,10,0.025,False,False,0.034102314032345635
30,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,30,370,0.075,10,0.024999999999999994,False,False,0.034102314032345635
31,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,0.0625,32,368,0.08,7,0.0175,False,False,0.034102314032345635
32,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,0.0625,42,358,0.105,17,0.042499999999999996,False,False,0.034102314032345635
33,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,27,0.0675,42,358,0.105,15,0.03749999999999999,False,False,0.034102314032345635
34,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,31,369,0.0775,8,0.019999999999999997,False,False,0.034102314032345635
35,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,26,374,0.065,6,0.015,False,False,0.034102314032345635
36,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,33,367,0.0825,12,0.030000000000000006,False,False,0.034102314032345635
37,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,34,366,0.085,12,0.030000000000000006,False,False,0.034102314032345635
38,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,28,0.07,34,366,0.085,6,0.015,False,False,0.034102314032345635
39,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,31,369,0.0775,13,0.0325,False,False,0.034102314032345635
40,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,25,375,0.0625,9,0.0225,False,False,0.034102314032345635
41,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,13,0.0325,13,387,0.0325,0,0.0,False,True,0.034102314032345635
42,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,24,376,0.06,8,0.019999999999999997,False,False,0.034102314032345635
43,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,0.06,32,368,0.08,8,0.020000000000000004,False,False,0.034102314032345635
44,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,26,374,0.065,8,0.020000000000000004,False,False,0.034102314032345635
45,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,25,375,0.0625,7,0.0175,False,False,0.034102314032345635
46,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,32,368,0.08,11,0.027500000000000004,False,False,0.034102314032345635
47,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,22,378,0.055,3,0.0075,False,False,0.034102314032345635
48,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,22,378,0.055,6,0.015,False,False,0.034102314032345635
49,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,28,372,0.07,9,0.022500000000000006,False,False,0.034102314032345635
50,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,24,376,0.06,8,0.019999999999999997,False,False,0.034102314032345635
51,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,28,372,0.07,8,0.020000000000000004,False,False,0.034102314032345635
52,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,28,372,0.07,9,0.022500000000000006,False,False,0.034102314032345635
53,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,0.06,37,363,0.0925,13,0.0325,False,False,0.034102314032345635
54,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,21,379,0.0525,1,0.0024999999999999953,False,False,0.034102314032345635
55,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,0.0625,39,361,0.0975,14,0.035,False,False,0.034102314032345635
56,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,0.0575,30,370,0.075,7,0.017499999999999995,False,False,0.034102314032345635
57,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,14,0.035,15,385,0.0375,1,0.0024999999999999953,False,False,0.034102314032345635
58,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,0.0475,25,375,0.0625,6,0.015,False,False,0.034102314032345635
59,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,27,0.0675,40,360,0.1,13,0.0325,False,False,0.034102314032345635
60,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,0.045,29,371,0.0725,11,0.027499999999999997,False,False,0.034102314032345635
61,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,0.0525,32,368,0.08,11,0.027500000000000004,False,False,0.034102314032345635
62,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,10,0.025,17,383,0.0425,7,0.0175,False,False,0.034102314032345635
63,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,0.0625,36,364,0.09,11,0.027499999999999997,False,False,0.034102314032345635
64,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,0.05,33,367,0.0825,13,0.0325,False,False,0.034102314032345635
65,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,0.06,39,361,0.0975,15,0.037500000000000006,False,False,0.034102314032345635
66,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,15,0.0375,19,381,0.0475,4,0.010000000000000002,False,False,0.034102314032345635
67,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,16,0.04,22,378,0.055,6,0.015,False,False,0.034102314032345635
68,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,17,0.0425,23,377,0.0575,6,0.015,False,False,0.034102314032345635
69,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,0.06,39,361,0.0975,15,0.037500000000000006,False,False,0.034102314032345635
70,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,28,372,0.07,6,0.015000000000000006,False,False,0.034102314032345635
71,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,0.055,30,370,0.075,8,0.019999999999999997,False,False,0.034102314032345635
