run_id,time_step,period,N,T,initial_corruption_rate_parameter,beta,gamma,alpha,memory_endowment,collaboration_cost,discount_factor,num_corrupted,num_honest,corruption_rate,collaboration_rate,belief_cutoff
0,0,1,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,18,382,0.045,0.0,0.02643592590823947
0,1,2,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,19,381,0.0475,0.37,0.026436004885828195
0,2,3,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,20,380,0.05,0.395,0.026436092639258005
0,3,4,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,21,379,0.0525,0.505,0.026436190143752203
0,4,5,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,22,378,0.055,0.51,0.026436298482922657
0,5,6,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,377,0.0575,0.58,0.026436418860820182
0,6,7,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,23,377,0.0575,0.58,0.026436552615325407
0,7,8,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,376,0.06,0.605,0.026436701233029745
0,8,9,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,376,0.06,0.615,0.026436866365772107
0,9,10,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,376,0.06,0.62,0.026437049849016486
0,10,11,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,24,376,0.06,0.63,0.026437253722275154
0,11,12,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.635,0.02643748025180602
0,12,13,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.635,0.026437731955837852
0,13,14,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.65,0.026438011632605587
0,14,15,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.655,0.026438322391509787
0,15,16,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.655,0.02643866768774938
0,16,17,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.655,0.026439051360816323
0,17,18,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.675,0.02643947767728451
0,18,19,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.685,0.02643995137837397
0,19,20,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,25,375,0.0625,0.685,0.026440477732826075
0,20,21,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.69,0.026441062595685745
0,21,22,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.685,0.026441712473654764
0,22,23,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.685,0.026442434597755405
0,23,24,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.69,0.026443237004128324
0,24,25,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.02644412862388257
0,25,26,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.026445119383021215
0,26,27,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.026446220313583613
0,27,28,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.026447443677277555
0,28,29,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.026448803103022025
0,29,30,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.026450313739987182
0,30,31,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.02645199242790394
0,31,32,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.02645385788662454
0,32,33,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.026455930927150234
0,33,34,400,100,0.05,0.5,0.4,0.9,1.0,0.02,0.9,26,374,0.065,0.695,0.026458234686606873
